
Scan Time:     2014-12-07 13:56:13
Target File:   J180ND2H.F4
MD5 Checksum:  26e8d41213d7ecbe5ea671fc5868462e

DECIMAL       HEXADECIMAL     ENTROPY
--------------------------------------------------------------------------------
235520        0x39800         0.000000
236544        0x39C00         0.000000
237568        0x3A000         0.000000
238592        0x3A400         0.000000
239616        0x3A800         0.000000
240640        0x3AC00         0.000000
241664        0x3B000         0.000000
242688        0x3B400         0.000000
243712        0x3B800         0.000000
244736        0x3BC00         0.000000
245760        0x3C000         0.006005
246784        0x3C400         0.000000
247808        0x3C800         0.000000
248832        0x3CC00         0.000000
249856        0x3D000         0.000000
250880        0x3D400         0.000000
251904        0x3D800         0.000000
252928        0x3DC00         0.000000
253952        0x3E000         0.000000
254976        0x3E400         0.000000
256000        0x3E800         0.000000
257024        0x3EC00         0.000000
258048        0x3F000         0.000000
259072        0x3F400         0.000000
260096        0x3F800         0.000000
261120        0x3FC00         0.000000
262144        0x40000         0.006005
263168        0x40400         0.000000
264192        0x40800         0.000000
265216        0x40C00         0.000000
266240        0x41000         0.000000
267264        0x41400         0.000000
268288        0x41800         0.000000
269312        0x41C00         0.000000
270336        0x42000         0.000000
271360        0x42400         0.000000
272384        0x42800         0.000000
273408        0x42C00         0.000000
274432        0x43000         0.000000
275456        0x43400         0.000000
276480        0x43800         0.000000
277504        0x43C00         0.000000
278528        0x44000         0.006005
279552        0x44400         0.000000
280576        0x44800         0.000000
281600        0x44C00         0.000000
282624        0x45000         0.000000
283648        0x45400         0.000000
284672        0x45800         0.000000
285696        0x45C00         0.000000
286720        0x46000         0.000000
287744        0x46400         0.000000
288768        0x46800         0.000000
289792        0x46C00         0.000000
290816        0x47000         0.000000
291840        0x47400         0.000000
292864        0x47800         0.000000
293888        0x47C00         0.000000
294912        0x48000         0.006005
295936        0x48400         0.000000
296960        0x48800         0.000000
297984        0x48C00         0.000000
299008        0x49000         0.000000
300032        0x49400         0.000000
301056        0x49800         0.000000
302080        0x49C00         0.000000
303104        0x4A000         0.000000
304128        0x4A400         0.000000
305152        0x4A800         0.000000
306176        0x4AC00         0.000000
307200        0x4B000         0.000000
308224        0x4B400         0.000000
309248        0x4B800         0.000000
310272        0x4BC00         0.000000
311296        0x4C000         0.006005
312320        0x4C400         0.000000
313344        0x4C800         0.000000
314368        0x4CC00         0.000000
315392        0x4D000         0.000000
316416        0x4D400         0.000000
317440        0x4D800         0.000000
318464        0x4DC00         0.000000
319488        0x4E000         0.000000
320512        0x4E400         0.000000
321536        0x4E800         0.000000
322560        0x4EC00         0.000000
323584        0x4F000         0.000000
324608        0x4F400         0.000000
325632        0x4F800         0.000000
326656        0x4FC00         0.000000
327680        0x50000         0.006005
328704        0x50400         0.000000
329728        0x50800         0.000000
330752        0x50C00         0.000000
331776        0x51000         0.000000
332800        0x51400         0.000000
333824        0x51800         0.000000
334848        0x51C00         0.000000
335872        0x52000         0.000000
336896        0x52400         0.000000
337920        0x52800         0.000000
338944        0x52C00         0.000000
339968        0x53000         0.000000
340992        0x53400         0.000000
342016        0x53800         0.000000
343040        0x53C00         0.000000
344064        0x54000         0.006005
345088        0x54400         0.000000
346112        0x54800         0.000000
347136        0x54C00         0.000000
348160        0x55000         0.000000
349184        0x55400         0.000000
350208        0x55800         0.000000
351232        0x55C00         0.000000
352256        0x56000         0.000000
353280        0x56400         0.000000
354304        0x56800         0.000000
355328        0x56C00         0.000000
356352        0x57000         0.000000
357376        0x57400         0.000000
358400        0x57800         0.000000
359424        0x57C00         0.000000
360448        0x58000         0.006005
361472        0x58400         0.000000
362496        0x58800         0.000000
363520        0x58C00         0.000000
364544        0x59000         0.000000
365568        0x59400         0.000000
366592        0x59800         0.000000
367616        0x59C00         0.000000
368640        0x5A000         0.000000
369664        0x5A400         0.000000
370688        0x5A800         0.000000
371712        0x5AC00         0.000000
372736        0x5B000         0.000000
373760        0x5B400         0.000000
374784        0x5B800         0.000000
375808        0x5BC00         0.000000
376832        0x5C000         0.006005
377856        0x5C400         0.000000
378880        0x5C800         0.000000
379904        0x5CC00         0.000000
380928        0x5D000         0.000000
381952        0x5D400         0.000000
382976        0x5D800         0.000000
384000        0x5DC00         0.000000
385024        0x5E000         0.000000
386048        0x5E400         0.000000
387072        0x5E800         0.000000
388096        0x5EC00         0.000000
389120        0x5F000         0.000000
390144        0x5F400         0.000000
391168        0x5F800         0.000000
392192        0x5FC00         0.000000
393216        0x60000         0.006005
394240        0x60400         0.000000
395264        0x60800         0.000000
396288        0x60C00         0.000000
397312        0x61000         0.000000
398336        0x61400         0.000000
399360        0x61800         0.000000
400384        0x61C00         0.000000
401408        0x62000         0.000000
402432        0x62400         0.000000
403456        0x62800         0.000000
404480        0x62C00         0.000000
405504        0x63000         0.000000
406528        0x63400         0.000000
407552        0x63800         0.000000
408576        0x63C00         0.000000
409600        0x64000         0.006005
410624        0x64400         0.000000
411648        0x64800         0.000000
412672        0x64C00         0.000000
413696        0x65000         0.000000
414720        0x65400         0.000000
415744        0x65800         0.000000
416768        0x65C00         0.000000
417792        0x66000         0.000000
418816        0x66400         0.000000
419840        0x66800         0.000000
420864        0x66C00         0.000000
421888        0x67000         0.000000
422912        0x67400         0.000000
423936        0x67800         0.000000
424960        0x67C00         0.000000
425984        0x68000         0.774494
427008        0x68400         0.485508
428032        0x68800         0.042161
429056        0x68C00         0.000000
430080        0x69000         0.721315
431104        0x69400         0.703806
432128        0x69800         0.701425
433152        0x69C00         0.719172
434176        0x6A000         0.707597
435200        0x6A400         0.727506
436224        0x6A800         0.711094
437248        0x6AC00         0.717188
438272        0x6B000         0.745658
439296        0x6B400         0.722639
440320        0x6B800         0.746125
441344        0x6BC00         0.711733
442368        0x6C000         0.731610
443392        0x6C400         0.751812
444416        0x6C800         0.727506
445440        0x6CC00         0.717897
446464        0x6D000         0.734899
447488        0x6D400         0.725932
448512        0x6D800         0.739270
449536        0x6DC00         0.729334
450560        0x6E000         0.732278
451584        0x6E400         0.727954
452608        0x6E800         0.715865
453632        0x6EC00         0.688566
454656        0x6F000         0.691576
455680        0x6F400         0.705897
456704        0x6F800         0.702419
457728        0x6FC00         0.720444
458752        0x70000         0.721917
459776        0x70400         0.697653
460800        0x70800         0.720137
461824        0x70C00         0.727268
462848        0x71000         0.730306
463872        0x71400         0.719181
464896        0x71800         0.712173
465920        0x71C00         0.751656
466944        0x72000         0.729821
467968        0x72400         0.725093
468992        0x72800         0.711920
470016        0x72C00         0.710970
471040        0x73000         0.712782
472064        0x73400         0.714021
473088        0x73800         0.721387
474112        0x73C00         0.737242
475136        0x74000         0.714949
476160        0x74400         0.697739
477184        0x74800         0.725369
478208        0x74C00         0.716270
479232        0x75000         0.703278
480256        0x75400         0.720040
481280        0x75800         0.720273
482304        0x75C00         0.670606
483328        0x76000         0.701954
484352        0x76400         0.699898
485376        0x76800         0.698631
486400        0x76C00         0.720598
487424        0x77000         0.708854
488448        0x77400         0.692256
489472        0x77800         0.719709
490496        0x77C00         0.666919
491520        0x78000         0.674408
492544        0x78400         0.698459
493568        0x78800         0.699543
494592        0x78C00         0.697497
495616        0x79000         0.687400
496640        0x79400         0.689525
497664        0x79800         0.682795
498688        0x79C00         0.721109
499712        0x7A000         0.679269
500736        0x7A400         0.716172
501760        0x7A800         0.702146
502784        0x7AC00         0.739718
503808        0x7B000         0.693007
504832        0x7B400         0.707930
505856        0x7B800         0.689253
506880        0x7BC00         0.655115
507904        0x7C000         0.734453
508928        0x7C400         0.722423
509952        0x7C800         0.210946
510976        0x7CC00         0.000000
512000        0x7D000         0.257919
513024        0x7D400         0.332356
514048        0x7D800         0.361323
515072        0x7DC00         0.000000
516096        0x7E000         0.969129
517120        0x7E400         0.975793
518144        0x7E800         0.977798
519168        0x7EC00         0.970371
520192        0x7F000         0.977547
521216        0x7F400         0.977119
522240        0x7F800         0.974602
523264        0x7FC00         0.977707
524288        0x80000         0.974047
525312        0x80400         0.975461
526336        0x80800         0.975961
527360        0x80C00         0.975182
528384        0x81000         0.978268
529408        0x81400         0.974460
530432        0x81800         0.973379
531456        0x81C00         0.976671
532480        0x82000         0.976053
533504        0x82400         0.980714
534528        0x82800         0.972005
535552        0x82C00         0.977537
536576        0x83000         0.977465
537600        0x83400         0.972917
538624        0x83800         0.973835
539648        0x83C00         0.972622
540672        0x84000         0.974980
541696        0x84400         0.973634
542720        0x84800         0.976276
543744        0x84C00         0.980983
544768        0x85000         0.977983
545792        0x85400         0.971669
546816        0x85800         0.974225
547840        0x85C00         0.978081
548864        0x86000         0.976641
549888        0x86400         0.974955
550912        0x86800         0.980052
551936        0x86C00         0.974026
552960        0x87000         0.978901
553984        0x87400         0.976200
555008        0x87800         0.973572
556032        0x87C00         0.978681
557056        0x88000         0.976122
558080        0x88400         0.973329
559104        0x88800         0.971899
560128        0x88C00         0.979798
561152        0x89000         0.974314
562176        0x89400         0.979326
563200        0x89800         0.977201
564224        0x89C00         0.970575
565248        0x8A000         0.975681
566272        0x8A400         0.976968
567296        0x8A800         0.972470
568320        0x8AC00         0.975103
569344        0x8B000         0.973722
570368        0x8B400         0.974019
571392        0x8B800         0.975158
572416        0x8BC00         0.978246
573440        0x8C000         0.975936
574464        0x8C400         0.975165
575488        0x8C800         0.975886
576512        0x8CC00         0.977283
577536        0x8D000         0.977647
578560        0x8D400         0.976396
579584        0x8D800         0.980743
580608        0x8DC00         0.975161
581632        0x8E000         0.975201
582656        0x8E400         0.973755
583680        0x8E800         0.976054
584704        0x8EC00         0.977629
585728        0x8F000         0.976028
586752        0x8F400         0.973968
587776        0x8F800         0.875864
588800        0x8FC00         0.000000
589824        0x90000         0.977313
590848        0x90400         0.978280
591872        0x90800         0.977493
592896        0x90C00         0.975844
593920        0x91000         0.974307
594944        0x91400         0.973402
595968        0x91800         0.977159
596992        0x91C00         0.976278
598016        0x92000         0.980127
599040        0x92400         0.977368
600064        0x92800         0.974687
601088        0x92C00         0.972733
602112        0x93000         0.973507
603136        0x93400         0.976948
604160        0x93800         0.978186
605184        0x93C00         0.977771
606208        0x94000         0.975590
607232        0x94400         0.976763
608256        0x94800         0.976983
609280        0x94C00         0.973012
610304        0x95000         0.973646
611328        0x95400         0.974265
612352        0x95800         0.976964
613376        0x95C00         0.976476
614400        0x96000         0.976772
615424        0x96400         0.974063
616448        0x96800         0.977325
617472        0x96C00         0.971726
618496        0x97000         0.978456
619520        0x97400         0.974613
620544        0x97800         0.971659
621568        0x97C00         0.976425
622592        0x98000         0.977237
623616        0x98400         0.979037
624640        0x98800         0.977549
625664        0x98C00         0.973689
626688        0x99000         0.979808
627712        0x99400         0.978654
628736        0x99800         0.977668
629760        0x99C00         0.976476
630784        0x9A000         0.976020
631808        0x9A400         0.689666
632832        0x9A800         0.000000
633856        0x9AC00         0.000000
634880        0x9B000         0.975067
635904        0x9B400         0.980062
636928        0x9B800         0.976182
637952        0x9BC00         0.978224
638976        0x9C000         0.976389
640000        0x9C400         0.975916
641024        0x9C800         0.978228
642048        0x9CC00         0.975588
643072        0x9D000         0.975272
644096        0x9D400         0.975003
645120        0x9D800         0.975423
646144        0x9DC00         0.972431
647168        0x9E000         0.977047
648192        0x9E400         0.972442
649216        0x9E800         0.977908
650240        0x9EC00         0.978723
651264        0x9F000         0.977082
652288        0x9F400         0.977115
653312        0x9F800         0.975995
654336        0x9FC00         0.976521
655360        0xA0000         0.971617
656384        0xA0400         0.978010
657408        0xA0800         0.980105
658432        0xA0C00         0.979800
659456        0xA1000         0.978642
660480        0xA1400         0.975418
661504        0xA1800         0.976161
662528        0xA1C00         0.976704
663552        0xA2000         0.977301
664576        0xA2400         0.979502
665600        0xA2800         0.975043
666624        0xA2C00         0.974854
667648        0xA3000         0.976944
668672        0xA3400         0.976835
669696        0xA3800         0.625590
670720        0xA3C00         0.000000
671744        0xA4000         0.974676
672768        0xA4400         0.976638
673792        0xA4800         0.972623
674816        0xA4C00         0.975612
675840        0xA5000         0.979149
676864        0xA5400         0.977571
677888        0xA5800         0.978542
678912        0xA5C00         0.743404
679936        0xA6000         0.975922
680960        0xA6400         0.978395
681984        0xA6800         0.976306
683008        0xA6C00         0.977862
684032        0xA7000         0.976019
685056        0xA7400         0.978713
686080        0xA7800         0.975213
687104        0xA7C00         0.976499
688128        0xA8000         0.977598
689152        0xA8400         0.977727
690176        0xA8800         0.978863
691200        0xA8C00         0.975941
692224        0xA9000         0.977296
693248        0xA9400         0.977882
694272        0xA9800         0.972794
695296        0xA9C00         0.972852
696320        0xAA000         0.976001
697344        0xAA400         0.974893
698368        0xAA800         0.975840
699392        0xAAC00         0.973503
700416        0xAB000         0.980147
701440        0xAB400         0.976345
702464        0xAB800         0.979972
703488        0xABC00         0.976480
704512        0xAC000         0.873251
705536        0xAC400         0.000000
706560        0xAC800         0.000000
707584        0xACC00         0.000000
708608        0xAD000         0.972764
709632        0xAD400         0.969039
710656        0xAD800         0.975890
711680        0xADC00         0.976582
712704        0xAE000         0.979636
713728        0xAE400         0.974120
714752        0xAE800         0.975837
715776        0xAEC00         0.974942
716800        0xAF000         0.980721
717824        0xAF400         0.976454
718848        0xAF800         0.979340
719872        0xAFC00         0.976027
720896        0xB0000         0.973762
721920        0xB0400         0.978956
722944        0xB0800         0.976131
723968        0xB0C00         0.974191
724992        0xB1000         0.974290
726016        0xB1400         0.975858
